CODIGO ACAO;NOME ACAO;2010;2011;2012;2013;2014;2015
57980000;GESTAO E FUNCIONAMENTO DA DEFENSORIA PUBLICA;10830080,340000004;14123967,439999998;21043919,59000001;20988039,48999999;9877970,630000012;9027553,029999992
54920000;PORTAL DE SERVICOS PUBLICOS;0,0;0,0;0;0;0;0
24700000;EXPANSAO INFRAEST. CUSTODIA E REINTEGRACAO;0;0;0;0,0;65488036,97000001;35634437,24
61730000;MODERN.E MANUT.TECN.NAS UNID.ESCOLARES;0;0;0;0;0,0;0
23540000;APERFEICOAMENTO DA GESTAO DO DPME;0;0;0,0;1271465,74;0;0
59250000;GERACAO CONHECIMENTO TECNOLOGIAS AGRONEGOCIO;10390374,350000003;12022673,24;14516343,18;14417425,760000005;18091847,05999999;0
58150000;INFORMACOES ESTRATEGICAS FORM. PROFISSIONAL;0,0;0,0;157242,0;0;0,0;0
41960000;ADMINISTRACAO GERAL;0;0;0;0;0;32198353,440000013
52740000;ASSISTENCIA MEDICA,HOSPITALAR  E AMBULATORIAL;193441124,80000004;262330621,90999845;362509386,54999757;408346837,68999934;108658078,2699999;0
16840000;SUBSCRICAO DE ACOES DA PRODESP;4512315,4;0,0;18922839,0;11077159,96;0;0
57490000;MONITORAMENTO AVAL. PROJ. PROG. EDUCACIONAIS;70355,81;500000,0;0,0;11800,0;47594,0;0
53420000;ASSESSORAMENTO COORD. POL. ADM. GOVERNAMENTAL;1318522,23;3015469,53;1315081,82;0;0;0
50740000;APOIO AOS PLANOS REGION. DESENV. SUSTENTAVEL;12273,1;1100,0;0;0;0;0
46400000;GERENCIAMENTO E DIFUSAO INFORM.AMBIENTAIS;0;0;0;0;0;0,0
12910000;IMPLANTACAO DE MELHORIAS NA MALHA HIDROVIARIA;104257,51;64994,33;1461130,8900000001;20373184,470000003;28631373,980000004;0
60570000;ELABORACAO MONITORAMENTO POLITICAS PUBLICAS;0;0;0,0;531251,49;251714,86;0,0
25180000;FINANC.ACOES UGRHI SAPUCAI-MIRIM/GRANDE-AGUA;0;0;0;0;0;0,0
46140000;MANUTENCAOTECNOLOGIA INFORM. MIN.PUBLICO;2287346,16;2381924,0199999996;2474260,8599999994;3569031,9600000004;3221567,5799999996;0
57990000;MANUT. AMPL. DA .INFORMATIZACAO DEF.PUBLICA;2154027,68;2495625,42;4076408,98;2319002,48;4906597,319999999;0
20920000;LINHA 7- LUZ-JUNDIAI -MODERNIZ.EXP. DA OFERTA;122302852,02999999;34729148,78;46684038,36999999;42860165,69;27548924,849999998;0
56430000;SISTEMA GESTAO DOCUMENTAL E REST.DE DOCUMENTO;0,0;0;0;0;0;0
15730000;IMPLANTACAO RESERVATORIOS RETENCAO-PISCINOES;0;0;0;0;0;19966734,31
60780000;PREVENCAO E COMBATE A INCENDIOS FLORESTAIS;0;0;0,0;27300,0;0,0;0,0
21730000;MODERNIZACAO DA LINHA 12 - SAFIRA DA CPTM;0;0;0;0;0;4648129,99
49870000;PROTECAO A VITIMAS E TESTEMUNHAS;0,0;0,0;83337,0;0,0;0,0;0,0
14190000;RECUPERACAO DE RODOVIAS ESTADUAIS;49335985,25000004;2336872,7299999995;235355266,42999995;12792205,689999998;12786,800000000001;0
43110000;PESQUISA AMBIENTAL CAPACITACAO MEIO AMBIENTE;0;0;0;0;0;2910650,8700000006
