CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
4108;NOVOS RUMOS NOS VELHOS TRILHOS;9027353,859999998;13024717,450000014;0,0;0,0;0,0;0,0
2907;SISTEMA DE PLANEJAMENTO REGIONAL / METROPOLITANO;0,0;0,0;0,0;0,0;0,0;0,0
1819;SAO PAULO VIVENDO EM PAZ;0;0;9987308982,569986;10590107961,679943;12205412342,199932;0
4109;ESPORTE PAULISTA RUMO A 2016;50209110,79999998;70254955,39999999;72435029,14;78959304,69000003;124422981,60000001;0
102;OBRIGACOES PREVIDENCIARIAS EM COMPLEMENTACAO;249439663,58000007;153483398,67999995;1303124701,300001;1476296603,7099996;1438811722,3300014;1586096869,1000004
2910;QUALIDADE DE VIDA DOS POVOS INDIGENAS;0,0;0,0;0;0;0;0
4906;DESENVOLVIMENTO DE FONTES DE ENERGIA RENOVAVEL NO ESTADO;0;0;0;0;0;0,0
3813;GESTAO DA CUSTODIA E APOIO A REINTEGRACAO SOCIAL DA POPULACAO PENAL E EGRESSOS;0;0;0;3250071630,8497562;3715920730,109026;0
1605;GESTAO, OPERACAO E SEGURANCA DE RODOVIAS;128788893,05;153957354,98999995;612457338,8400003;641118305,6999996;582333652,26;682929136,2499994
2906;SISTEMA ESTADUAL DE PLANEJAMENTO E AVALIACAO;4536500,13;4247623,600000001;22063017,23;13166654,489999998;4347225,859999999;6818648,890000003
1021;INOVACAO E TECNOLOGIA PARA POLITICAS PUBLICAS, ORGAOS GOVERNAMENTAIS E EMPRESAS;0;0;0;0;0;203966024,46000013
4906;ENERGIAS RENOVAVEIS;0;0;0;260000,0;250000,0;0
4700;GESTAO E IMPLEMENTACAO DA POLITICA DE INCLUSAO SOCIAL DA PESSOA COM DEFICIENCIA;43677421,959999956;32822478,14;48984686,33000003;79176021,12999988;239440490,51000023;176437509,18
2824;ARQUIVO DO ESTADO - MEMORIA E GESTAO DOCUMENTAL;60282991,57999999;28106900,859999992;6456712,98;7960045,63;5244256,050000002;7853594,720000001
2908;SISTEMA ESTADUAL DE INFORMACOES GEOGRAFICAS E CARTOGRAFICAS;0,0;0,0;0;0;0;0
807;TECNOLOGIA DA INFORMACAO E COMUNICACAO NA EDUCACAO - TIC;196745012,20000014;271279837,40999997;232567428,79999995;403664400,7400003;0,0;0,0
928;ATENDIMENTO INTEGRAL E DE ALTA COMPLEXIDADE EM ASSISTENCIA MEDICA EM RIB. PRETO;303631652,5700001;334050651,44000024;0,0;0,0;0,0;0
1804;SINAL VERDE;266046596,29999998;347125043,2899998;0,0;0,0;0;0
2405;PROMOCAO DA CULTURA E LAZER;0,0;0,0;0,0;0;0;0
3517;PROTECAO SOCIAL;0;0;284474534,8500002;201191871,17;240299040,76999977;214386652,1799995
2818;GOVERNO ELETRONICO IV - INCLUSAO DIGITAL;0,0;0,0;0;0;0;0
4110;IMPLEMENTANDO A ATIVIDADE ESPORTIVA;10523999,969999999;1636484,0;16050072,57;17201657,81;29011094,280000005;24078550,64
2814;CAPACITACAO EMPRESARIAL DA PRODESP;0,0;0,0;0;0;0;0
