CODIGO PROGRAMA;NOME PROGRAMA;2010;2011;2012;2013;2014;2015
942;GESTAO DA EDUCACAO E DO TRABALHO EM SAUDE;0;0;0,0;6557390,150000001;3030708,35;0
803;MELHORIA DA QUALIDADE DO ENSINO FUNDAMENTAL;1106679268,5899992;1277145041,279997;1630851994,4500005;4153120,55;1675433,2000000002;708,19
1807;POLICIAMENTO OSTENSIVO;193919563,83000094;384598348,10000134;388647648,90999955;1683725,2300000002;380650,79000000004;0
1213;GESTAO DE RECURSOS DA SECRETARIA DA CULTURA;2689640,17;4970558,86;6015548,919999999;9414257,749999998;46690367,56000001;0
1026;GESTAO DA POLITICA DE DESENVOLVIMENTO, CIENCIA, TECNOLOGIA E INOVACAO;0,0;23648560,15;6126112,15;29317493,0;1122709,0;3870000,0
1714;PERICIA JUDICIAL NA AREA DE MEDICINA LEGAL E DE INVESTIGACAO DE VINCULO GENETICO;0;0;0;0;0;4340800,720000001
2823;SISTEMA ESTADUAL DE CONTROLADORIA;207609,0;0,0;0,0;0,0;3863,5;10793,15
3708;EXPANSAO, MODERNIZACAO E OPERACAO DO TRANSPORTE METROVIARIO - PITU EM MARCHA;0,0;0,0;0,0;0,0;10401786,0;0,0
4903;GESTAO DO FORNECIMENTO E UTILIZACAO DE ENERGIA ELETRICA;0;0;0,0;0,0;0,0;0
5003;DESENVOLVIMENTO E PROMOCAO DO TURISMO NO ESTADO;0;0;0,0;1071825,43;1675517,5200000003;566947,05
1731;CIDADANIA NO CAMPO E NA CIDADE;0;0;0;0;0;12917006,760000004
933;CIENCIA, TECNOLOGIA E INOVACAO EM SAUDE;0;0;0;0;0;513390,38999999996
1701;INTEGRACAO DE SERVICOS NA AREA DA CIDADANIA;1085184,8099999998;1843476,2199999995;688145,59;0;0;0
814;EXPANSAO, MELHORIA E REFORMA DA REDE FISICA ESCOLAR E ADMINISTRATIVA;428620584,6800001;386477454,95;615109023,8900001;699880514,6499997;245267175,5300002;120521882,93000008
2601;CONTROLE DO USO DOS RECURSOS NATURAIS;0,0;0,0;0,0;0;0;0
2603;GESTAO, PESQUISA, CONSERVACAO E RECUPERACAO DOS RECURSOS NATURAIS;0,0;0,0;0,0;0;0;0
3931;GESTAO ADMINISTRATIVA EM SANEAMENTO E RECURSOS HIDRICOS;18690315,27999999;47070412,10999999;47113775,129999995;50135688,11;68660706,02000003;67977918,21
4409;UM NOVO DETRAN PARA SAO PAULO;0;0;0,0;98582088,98;108012050,84999993;115778069,70999995
1814;MODERNIZACAO  E APERFEICOAMENTO DA POLICIA TECNICO-CIENTIFICA;22579172,93;21652236,279999997;26683656,059999995;27479873,39;43556958,05;47118928,55
813;INTEGRACAO E AVALIACAO DO SISTEMA EDUCACIONAL;7007412,209999999;14239925,35;16941307,96;11151595,48;10237394,0;8989631,359999998
3516;FAMILIA CIDADA - ACOES SOCIAIS INTEGRADAS;13017444,46;22021454,37;25554646,81;55502454,93000001;30517066,94;5284985,08
2308;EMPREENDEDORISMO;630442,88;217952,55;1073877,43;464749,27;1155978,77;0
